제목,작성자,출판사,제작년도,journal,link,abstracts
인공지능 서비스 영향성 평가를 위한 분석 기준 연구,유순덕,한국인터넷방송통신학회,2023,한국인터넷방송통신학회 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f804a5a6f2e5b4bf6aae8a972f9116fb&keyword=인공지능,"본 연구의 목적은 인공지능 서비스 영향성 평가를 위한 분석 기준에 대해 조사하는 것이다. 본 연구 결과는다음과같이 조사 되었다. 인공지능 평가 대상은 인공지능 서비스와 인공지능 기술인 2가지 영역으로 분류하였다. 인공지능 서비스 평가는 영향력, 지속가능성, 효율성, 효과성, 적절성 등을 도입하여 평가할 수 있다. 인공지능 서비스의 시간적 측면평가는 사전평가와 사후 평가로 나누어 정리 할 수 있다. 사전평가는 사전 서비스를 위해 개발하고 설계할 때 검토해야하는 사항에 대해 제시하고 있다. 인공지능 서비스 영역 평가는 공공서비스와 민간서비스 및 혼합형태로 분류 될 수있다. 인공지능 서비스 영향성 평가 분류 기준으로 수직적 또는 수평적 구조 형태로 분류가 가능하다. 인공지능 서비스적용(활용) 기준은 규범적 측면과 규제적 측면으로 나누어 볼 수 있다. 인공지능 서비스 목적 측면에서 영향평가 또는과정 평가로 분류될 수 있다. 인공지능 서비스 목적 측면에서 바라보면, 주제별 평가와 분야별 평가를 들 수 있다. 본연구는 인공지능 서비스 영향성 정책 및 대응 방안 마련하는데 도움이 되며. 향후 연구는 인공지능 서비스 영향성 분석기준을 바탕으로 구체적인 지표를 발굴하는게 필요하다."
소비자의 독특성 추구 성향이 인공지능 내비게이션의 선호에 미치는 영향,김경진,한국콘텐츠산업학회,2021,콘텐츠와 산업,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d42bda99fddde5e1c85d2949c297615a&keyword=인공지능,"인공지능 내비게이션 상품이 기존 상품보다 정확하거나 효율적일 수 있지만 운전자들은 인공지능보다 인간 서비스를 선호한다. 또한 인공지능이 다소 기계적이 고 둔감하지만, 인간 전문가보다 인공지능이 개인의 고유한 요구에 대해서 더 이해하기 어려울 것이라는 운전자들의 고정관념의 영향이 크다. 이는 인공지능이 개 인의 고유성보다는 보편성, 집단 평균과 관련된 빅데이터의 통계 분석을 기반으로 하기 때문이다. 본 연구는 지리적 특성이 고유할 경우 인공지능 내비게이션이 비 우호적인지 여부를 탐구하기로 했다. 또한 이러한 효과가 개별 운전자의 고유성과 어떻게 상호작용하는지 확인하고자 했다. 개인의 고유성처럼 지역의 고유성이 인공지능 내비게이션 선호도에 부정적인 영향을 미친다면 그 이유도 함께 고려할 예정이다. 연구 1은 자가운전 맥락에서 운전자들이 다른 운전자들에 비해 내비게이션 이용에서 인공지능보다 인간 전문가와 만나는 것을 선호한다고 밝혔다. 남들보다 고 유성을 더 많이 인식한다는 이론에 비춰볼 때 전문가들이 인공지능보다 개인의 고유성을 더 잘 이해할 것이라는 기대감이 반영된 결과다. 이 논리는 중재변수 테스 트를 통해 뒷받침되었다. 연구 2에서는 독특함을 추구하는 경향이 높은 소비자들이 내비게이션 이용에서 인공지능보다 전문가의 서비스를 선호했다. 이러한 경향 은 독특한 느낌이 덜 한 지역(=미국)보다 독특한 느낌의 지역(=몽골)에서 더 두드러졌다. 반면에 독특함을 추구하는 경향이 낮은 운전자들은 이러한 패턴을 보이지 않았다. 이들은 지리 전문가 뿐만 아니라 인공지능 내비게이션을 전반적으로 선호했다. 결론적으로, 본 연구는 고유성이 인공지능 내비게이션 수용성을 훼손할 수 있다는 것을 다양한 맥락에서 제안했다. 예상보다 AI 확산 속도가 느린 것은 기술적 문제가 아니라 개인의 고유성이 말살될 수 있다는 인간 소외 등 인본주의적 불안감 때문일 것이다. Artificial intelligence navigation products may be more accurate or efficient than existing products, but drivers prefer human services to artificial intelligence. In addition, although artificial intelligence is somewhat mechanical and insensitive, it is largely influenced by drivers' stereotypes that artificial intelligence will be more difficult to understand than human experts on individual unique needs. This is because artificial intelligence is based on statistical analysis of big data related to universality and group average rather than individual uniqueness. This study decided to explore whether artificial intelligence navigation is unfriendly when geographical characteristics are unique. It was also intended to see how these effects interact with the uniqueness of individual drivers. If local uniqueness, such as individual uniqueness, negatively affects artificial intelligence navigation preferences, the reason will also be considered. Study 1 revealed that in the context of self-driving, drivers prefer to meet human experts over artificial intelligence in navigation over other drivers. This reflects expectations that experts will better understand individual uniqueness than artificial intelligence in light of the theory that they recognize uniqueness more than others. This logic was supported by the mediating test. In Study 2, drivers with a high tendency to pursue uniqueness preferred professional services to artificial intelligence in navigation use. This trend was more pronounced in regions with unique feelings(=Mongol) than in regions with less unique feelings(=USA). On the other hand, drivers with a low tendency to pursue uniqueness did not show this pattern. They preferred artificial intelligence navigation as well as geographic experts. In conclusion, this study suggested in various contexts that uniqueness can undermine artificial intelligence navigation acceptability. The slower-than-expected spread of AI may not be due to technical problems, but to humanistic anxiety such as human alienation that individual uniqueness can be wiped out."
SW비전공자의 컴퓨팅 사고와 인공지능 경험에 따른 인공지능에 대한 태도 분석,박주연,한국컴퓨터교육학회,2023,컴퓨터교육학회 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1a10d60ada6ea2b5d18150b21a227875&keyword=인공지능,"As artificial intelligence education targeting SW non-majors spreads, the attitude towards artificial intelligence as the starting point of artificial intelligence education is an important factor. In this study, in order to find an approach to artificial intelligence education for SW non-majors, the difference in attitude toward artificial intelligence was analyzed based on the computational thinking and artificial intelligence experience of SW non-majors. As a result of the study, first, students showed differences in their artificial intelligence attitudes according to their recognition of computational thinking, confidence, and programming ability. Second, it was found that students' attitudes towards artificial intelligence differ according to their interest in artificial intelligence, artificial intelligence manipulation experience, and artificial intelligence education experience. Based on these research results, when developing artificial intelligence education programs for non-major students in the future, students' computational thinking level and experience with artificial intelligence should be considered. SW비전공자를 대상으로 한 인공지능 교육이 확산됨에 따라 인공지능 교육의 출발점으로써 인공지능에 대한 태도는 중요한 요인이다. 이에 본 연구에서는 SW비전공자를 대상으로 한 인공지능 교육의 접근 방법을 찾기 위해 SW비전공자의 컴퓨팅 사고와 인공지능 경험에 따른 인공지능에 대한 태도의 차이를 분석하였다. 연구 결과 첫째, 학생들은 자신이 인식하고 있는 컴퓨팅 사고의 수준, 자신감, 프로그래밍 능력에 따라 인공지능에 대한 태도에서 차이가 나타났다. 둘째, 학생들의 인공지능에 대한 관심, 인공지능 조작 경험, 인공지능 교육경험에 따라 인공지능에 대한 태도에서 차이를 보이는 것으로 나타났다. 이러한 연구결과를 바탕으로 향후 SW비전공자들을 대상으로 인공지능 교육 프로그램을 개발할 때, 학생들의 컴퓨팅 사고 수준과 인공지능에 대한 경험이 고려되어야 할 것이다."
인공지능 윤리원칙 분류 모델에 관한 고찰,"소순주(Soon-Ju SO),안성진(OSeong-Jin Ahn)",한국컴퓨터교육학회,2021,한국컴퓨터교육학회 학술발표대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2578da389dec28ff6aae8a972f9116fb&keyword=인공지능,"지능정보화사회에서 가장 핵심이 되고 있는 인공지능 기술은 사회 전반에 거쳐 다양한 형태로 모든 제품이나 서비스에 큰 변화를 가져오고 있다. 오늘날 인공지능은 초거대 인공지능 기술까지 발전하면서 사회, 경제, 생활 등 모든 분야에 활용됨으로써 순기능과 역기능이 함께 공존하게 되었다. 특히, 인공지능 기술발전으로 인하여 인공지능 윤리(Artificial Intelligence Ethics) 문제가 급속하게 이슈화 되고 있다. 유럽을 비롯하여 세계 각국과 국내에서도 2016년도를 기점으로 인공지능 윤리 가이드라인이 발표되고 있으며, 인공지능 기술 개발과 사용에 인공지능 윤리 가이드라인을 적극적으로 적용해나가고 있으나, 윤리원칙에 대한 체계적인 분류와 연구가 미흡한 실정이다. 본 연구는 각 국가, 유관 단체에서 발표한 인공지능 윤리가이드라인과 인공지능 기술을 적용한 제품, 서비스 개발전략, 정책, 관련 문헌 등을 바탕으로 인공지능 윤리원칙을 영역별로 분류할 수 있는 모델을 제안하였다. 제안된 인공지능 윤리원칙 분류모델은 인공지능 소프트웨어 개발, 검증, 인증, 운영, 교육에 필요한 표준모델을 만드는데 사용될 수 있으며, 신뢰할 수 있는 지속가능한 인공지능 기술연구와 인공지능 활용에 기여할 것이다."
"인공지능의 활용, 프로젝트 관리 그리고 활용 리스크에 대한 문헌 연구","이준기(Lee, Zoon-Ky),남효경(Nam, Hyo-Kyoung)",한국지능정보사회진흥원,2022,정보화정책,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=dc602cc0bd1b9561e9810257f7042666&keyword=인공지능,"지금까지의 인공지능 연구는 컴퓨터 분야의 새로운 알고리즘에 관한 것이 대부분이며, 인공지능의 활용 사례연구도 주로 인간과의 대결에서 승리한 것을 보여 주고 있다. 사회와 기업의 지속적인 관심 속에 학계에서도 단순 기술적 측면의 인공지능연구에서 벗어나 인공지능의 활용적 측면, 특히 조직·전략과의 연계, 인공지능의 활용 리스크 등의 문제에서 이론을 정립하려는 노력이 최근 시도되고 있다. 본 문헌 연구에서는 2015년부터 2022년 현재까지 인공지능의 활용에 관한 연구를 인공지능 활용 분야, 인공지능 프로젝트 관리 그리고 인공지능의 활용 리스크 측면에서 조사하였다. 또한 세부 분석을 위하여 인용 수 20개 이상의 785개 연구에 대하여 세부 분야로 분류하여 조사하였다. 연구 결과 아직 많은 인공지능의 활용연구는 산업 또는 기업 업무별 과거 데이터를 중심으로 한 프로토타이핑 프로젝트 연구에 치우쳐져 있었다. 향후 인공지능 활용을 위한 조직 구조, 프로젝트 선정과 적용과정 등의 연구가 인공지능 활용의 리스크 연구와 함께 필요할 것으로 보인다. Most research in artificial intelligence (AI) has focused on the development of new algorithms. But as artificial intelligence has been spreading over many applications and gaining more attention from managers in the organization, academia has begun to understand the necessity of developing new artificial intelligence theories related to AI management. We reviewed recent studies in the field from 2015, and further analysis has been done for 785 studies chosen based on citation numbers of over 20. The results show that most studies have still been in the prototyping application phase of artificial intelligence across different industries. We conclude our study by calling for more research in the application of artificial intelligence in terms of organizational structures and project and risk management."
인공지능과 법 –인공지능 창작물의 권리귀속에 관한 검토-,한지영,아주대학교 법학연구소,2022,아주법학,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f0cd2f666dbb5cb9b7998d826d417196&keyword=인공지능,"오늘날 인공지능은 인간처럼 스스로 학습을 할 수 있을 뿐 아니라 인간의 고유영역이라고 여겨졌던 문화와 예술 분야에서 활발한 창작을 하고 있다. 이와 함께 인공지능이 제작한 창작물도 저작권으로 보호할 수 있는지, 만일 그렇다면 누가 저작권을 가지는지에 관하여 관심이 집중되고 있다. 본 논문은 인공지능 창작물을 인간의 창작물과 동일하게 보호해야 하는가라는 근본적인 의문에 대하여 저작권법의 본질은 ‘인간의 창작활동’을 촉진하는 것이라고 보고 인간의 창작 의욕을 저해하는 인공지능의 창작물까지 저작권으로 보호하는 것은 부당하다고 주장한다.
이러한 주장의 근거를 살펴보면 다음과 같다. 첫째, 인간의 창작적 기여 없이 인공지능이 독자적으로 창작한 경우까지 저작물로 보호하는 것은 오히려 인간의 창작을 위축시키게 되며 이는 저작권법의 본질에 반한다. 인간의 창작은 그 소요시간과 비용면에서 인공지능이 대량생산한 작품과 경쟁할 수 없기 때문에 인공지능의 창작물을 인간의 창작물과 동일하게 저작물로서 보호하면, 장기적으로 볼 때 인간의 창작물은 사라질 수 있다. 둘째, 저작권으로 보호하지 않더라도 인공지능 산업의 발전이 저해되지는 않으므로 경제적, 정책적 이유에서도 인공지능 창작물 전반에 저작권 보호를 확대 인정하여야 할 필요성은 없다. 인공지능 제작자와 사용자는 저작권이 아니더라도 자신의 노력에 대하여 보상을 받을 다른 유인을 가지고 있다. 또한 인공지능 산업의 특성상 저작권 인정 여부와 무관하게 인공지능의 연구 개발은 국가 정책으로서 계속해서 장려될 것이다. 셋째, 아직 실현되지 않은 불확실한 미래의 인공지능 기술을 미리 예측하여 새로운 제도를 도입하는 것은 매우 신중하게 이루어져야 하므로 현시점에서 제도를 급격하게 변화시키는 것은 타당하지 않다. 
따라서 현행 법의 해석으로 보호받지 못하는 인공지능의 창작물의 경우에는 공공의 소유에 속한다고 보아 누구나 자유롭게 사용가능하도록 하여야 한다. 이것이 궁극적으로 인간의 문화 향상 발전에 기여하는 방안이 될 것이다."
"인공지능 시스템의 다양성 논의, 그 의미와 확장 -인공지능의 편향성에서 다양성까지-",허유선,동국대학교 동서사상연구소,2021,철학·사상·문화,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e456a4b57955f30ac85d2949c297615a&keyword=인공지능,"인공지능의 편향성, 차별 문제와 다양성은 어떻게 연결되는가? 인공지능 시스템에서 다양성은 왜 필요한가? 인공지능 시스템의 다양성 논의가 실효성 있는 것이 되기 위해서는 무엇을 고려해야 하는가? 본 논문은 인공지능 윤리 내 다양성 언급 문헌 및 다수의 사례를 검토하며 인공지능 편향성과 다양성 문제가 사회구조적 차별, 사회적 힘의 배치라는 맥락에서 엮여있음을 보인다. 인공지능 시스템의 다양성 이슈의 맥락을 고려하지 못하는 기술 및 인적 개선은 표면적으로는 다양성을 증진하는 것 같아도 문제를 악화시킬 수 있다. 본래의 맥락과 목적을 고려할 때, 인공지능 시스템의 다양성 논의는 향후 다양성 개념의 이해를 확장해야 할 것이다. 마지막으로 해외를 중심으로 제기·논의된 다양성 이슈가 국내에서는 어떻게 이해되고 논의될 수 있을지를 살펴보고, 한국사회 내 인공지능 시스템의 다양성 논의와 다양성 증진을 위한 실천 과제를 제언한다. What is the relationship between biases, discrimination in artificial intelligence and diversity in artificial intelligence? Why is diversity important in artificial intelligence systems? What should be considered to make the discussion effective? This paper reviews studies and several cases referring to the diversity in the aspect of AI Ethics to show that the bias and the diversity issues found within AI systems are indeed intertwined in the context of social and structural discrimination and the distribution of power. Technological and human improvements that do not take into account such context can exacerbate the problem, even if they seem to promote diversity on the surface. Given the original context and purposes, the task of discussing diversity in artificial intelligence systems in the future will be to extend the understanding of diversity concepts. Finally, the author summarizes some issues raised and discussed in other cultures around diversity and tries to apply them into the Korean context, proposing action plans to discuss to help improve the diversity in artificial intelligence systems in"
인공지능에 관한 비판적 스케치,이재현(Jaehyun Lee),경상대학교 사회과학연구원(마르크스주의 연구),2016,마르크스주의 연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=aae0143d9ccd2b12e9810257f7042666&keyword=인공지능,"이 글은 인공지능의 몇 가지 문제들을 비판적으로 스케치한다. 비판의 영역은 크게 세 가지인데, 그것들은 각기 기계 학습과 통계적 학습이론, 인공지능의 윤리적 문제들, 그리고 인공지능을 둘러싼 정치경제학적 문제들이다. 이 글은 현재 성취된 인공지능 기술을 존중하고 감안한다는 취지에서 ‘약한 인공지능’과 ‘사회적으로 신체화된 인지’를 전제하며, 또 부르주아적 방법론적 개인주의에 대해서 비판적 입장을 취한다.
  기계 학습 및 통계적 학습 이론은 그 이론적 전제인 베이지언 확률이 주관주의적이라는 점에서 철학적으로 취약한 토대 위에 서 있다. 또 비즈니스 인텔리전스에 의해서 추동되는 데이터 마이닝은 인구의 상당수를 배제하거나 차별하고 있는 데이터에 의존하고 있다는 점에서 큰 문제를 안고 있다.
  인공지능의 윤리에 있어서는 만약 인공지능 에이전트가 인간과 같거나 그 이상의 지적 능력을 갖춘다면 인간과 같은 윤리적 지위를 지녀야 한다. 그런데, 정작 경계해야 할 것은 군사적으로 이용되는 지능적 에이전트가 아니라 자본가 역할을 할 수도 있는 지능적 에이전트다. 현재의 지배-종속 구조가 타파되지 않은 채 인공지능 기술이 지배하는 사회가 도래하는 것이야말로 윤리적으로 큰 문제다.
  정치경제학적 문제 영역에 있어서 인공지능 기술의 도래에도 불구하고 인간에게 고유한 것으로 남아 있을 가능성이 큰 분야들은 주로 구조화된 데이터나 알고리즘으로 처리되기 힘든 지식과 관련된 노동, 육체적 숙련을 요하는 노동, 감정적 접촉이 중요한 노동이다. 인공지능 기술 등이 마르크스주의에 대해 제기하는 도전적 과제들은 크게 한편으로 가치론, 그리고 다른 한편으로 자본주의의 구조적 위기론으로 나뉠 수 있다. This paper considers some problems of artificial intelligence (AI) technology. The assumptions are weak AI, socially-embodied cognition, and methodological holism. Machine learning’s weakness comes from the subjective character of Bayesian probability. If an artificial agent has the same functionality and conscious experience as a human, then it has the same human moral status as well. If AI is developed, then in Marxist economics it will be more important to explain the theoretical character of various forms of its digital labor."
인공지능 시대 종교의 기능과 역할,이재수,한국비평문학회,2023,批評文學,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e00a88ff30be158cc85d2949c297615a&keyword=인공지능,"이 글은 인류 기술문명의 진보의 정점을 이끌고 있는 인공지능과 종교와의 관계를 살펴보았다. 인공지능이 발달한 사회에 종교는 무엇이며, 인공지능이 지닌 한계를 극복하고 인간의 존엄과 가치를 공동체와 함께 지키기 위해 무엇을 해야 하는가에 대해 논의하였다. 이를 위해 인공지능의 현황에 대해 살펴보았다. 인공지능을 바라보는 다양한 시각들 즉, 인간과 인공지능 간의 정서적인 교류와 감정적인 유대를 이끌어 낼 수 없고, 의지력의 부족, 도덕적·윤리적 판단 능력의 부재 등에 대해 살폈다.
먼저 강한 인공지능의 시대를 불러올 ‘특이점’(singularity)에 대해 주목하고 유발 하라리의 ‘호모 데우스’에 대해 들여다 보았다. 인공지능의 발전은 인공지능의 종교화를 불러왔다. 하라리는 인본주의가 무너진 자리에서 새롭게 ‘데이터교'가 탄생할 것이라고 하였는데, 이에 대한 전망과 함께 미래의 종교성과 종교에 대해서 살펴보았다.
이 논의에서 인공지능이 인간과 동일한 신앙의 주체가 되려고 하는 다양한 시도들에 대해서 자세히 보았다. 인공지능과 종교의 공존을 위하여 종교가 무엇을 할 것인가를 제안하였다. 나아가 종교적 가치와 기능을 실현하는데 인공지능의 도움을 받을 수 있을 것이며, 인간과 소통하는 인공지능이 되기 위해 종교가 지닌 영성과 치유의 능력이 필요함을 밝혔다. This article examined the relationship between artificial intelligence and religion, which is driving the pinnacle of human technological progress. We discussed the role of religion in an A.I. society and what needs to be done to overcome the limitations of A.I. and protect human dignity and values with the community. To this end, we looked at the current state of artificial intelligence. We looked at various perspectives on A.I., such as its inability to create emotional interactions and bonds between humans and A.I., its lack of willpower, and its inability to make moral and ethical judgments.
First, we paid attention to the 'singularity' that will usher in the era of strong A.I. and looked at Yuval Harari's 'Homo Deus'. The development of A.I. has led to the religionization of A.I. Harari said that a new 'Dataism' will be born in the place where humanism collapsed, and we looked at the future of religion and religiosity.
In this discussion, we looked in detail at various attempts to make A.I. a subject of the same faith as humans. We suggested what religion should do to ensure the coexistence of A.I. and religion. Furthermore, it was revealed that religious values and functions can be realized with the help of A.I., and that spirituality and healing abilities of religion are needed to become A.I. that communicates with humans."
인공지능의 퍼블리시티권 침해 가능성에 대한 연구,한갑운 ( Han Gap-un ),건국대학교 법학연구소,2018,一鑑法學,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c28bb4d8eb5c3899b7998d826d417196&keyword=인공지능,"인공지능은 하루가 다르게 발전해 가고 있으며, 인간만의 고유한 영역이라고 여겨지던 창작을 바탕으로 한 지식재산 관련 산업에까지 그 영역을 확장해 가고 있다. 현재, 인공지능은 소설이나 시, 뉴스기사 등을 쓰고 있으며, 그림까지도 그리고 있다. 또한 곡을 작곡하고, 영상을 제작하기에 이르렀다. 이렇듯 인공지능이 창작을 하는 시대가 도래 했음에도 불구하고 우리 법률에는 아직까지 인공지능을 직접적으로 규율하는 규정을 가진 법률이 존재하지 않는다. 법률이 존재하지 않는다는 것은 인공지능으로 발생할 수 있는 법률행위들을 규율하지 못한다는 것을 의미한다. 즉 인공지능이 만들어낸 창작물의 소유권 인정여부 등이 향후 법률행위를 함에 있어 문제로 나타날 수 있을 것이다. 따라서 인공지능과 관련된 입법이 필요하며, 입법 시 인공지능 행위의 주체인정, 인공지능의 지식재산 침해에 따른 책임 소재 등이 고려되어야 할 것이다.
또한 인공지능에 의해 창작된 지식재산이 개인의 성명, 초상, 음성 등을 활용한 상업적 이용물일 경우에 개인의 퍼블리시티권 침해 등의 법률적 문제가 발생하게 된다. 따라서 인공지능에 의한 퍼블리시티권 침해 등에 대한 문제를 해결하기 위해서는 법률에 퍼블리시티권 개념 도입과 퍼블리시티권을 보호하기 위한 관련 법률의 정비가 요구되어 진다. 최근 정보통신기술이 발전으로 명문화 되지 않은 퍼블리시티권과 관련된 사건들이 계속적으로 증가하고 있으나, 우리나라는 아직까지도 퍼블리시티권을 법률에 명문화하기 보다는 하급심 판례에 퍼블리시티권의 인정여부와 손해배상 등의 침해에 따른 구제를 의존하고 있다. 따라서 퍼블리시티권에 대한 법률의 정비가 요구되어지며, 입법 등의 법률 정비 시 입법형식, 권리의 주체, 보호 대상, 재산권과 관련된 내용, 침해 구제 수단 등이 고려되어야 할 것이다.
인공지능은 인간만이 창작할 수 있는 지식재산을 만들어 내고, 인공지능이 만들어낸 지식재산이 개인의 퍼블리시티권을 침해할 가능성이 존재함에도 우리나라 법률은 아직까지 인공지능과 퍼블리시티권과 관련된 직접적인 규정을 가지고 있지 않다. 현재의 기술수준에서도 인공지능의 퍼블리시티권 침해는 일어날 수 있는 일이며, 지금의 기술발전 수준에 비추어 볼 때 미래에는 인공지능의 퍼블리시티권 침해가 더 많을 것으로 예상된다.
따라서 우리 법률도 기술의 발전으로 새롭게 등장하는 인공지능 등과 같은 문명의 이기로 발생하는 법률적 문제 해결과 퍼블리시티권 등과 같은 새로운 권리들을 보호할 수 있는 입법이 필요한 시점이다. 앞으로 우리 법률도 기술수준과 시대 흐름에 맞는 미래지향적인 입법을 하여야 할 것이다. Artificial Intelligence is evolving day by day. Artificial Intelligence is expanding its field into intellectual property related industry that needs creative works such as writing novels, poetry, news articles, painting, song composition, video production etc. which is considered as unique to human beings. Despite the arrival of the age of artificial intelligence creation, no low exists that can regulate the actions of artificial intelligence directly. The absence of legal regulation means that juristic actions by the artificial intelligence cannot be regulated. Issues about acknowledgement for proprietary rights for creative works of artificial intelligence etc. may arise. Therefore, legislation regarding artificial intelligence is needed. In the legislation process, it is important to take into account the awareness of artificial intelligence for infringement of intellectual property rights.
The improvement of law is needed, as the artificial intelligence is creating intellectual property, artificial intelligence can make commercial use of personal name, portrait, voice etc. First, the concept of publicity rights should be stipulated in the law to prevent the commercial use of personal information such as name, portrait, voice etc. As information and communication technology has developed rapidly, events related to unverified publicity rights are continuously increasing. Despite the possibility of publicity right infringement by the artificial intelligence, current law depends on the recognition of publicity right in case of lower court judicial precedent and compensation for infringement rather than stipulating the publicity right in the law. Therefore, legislation of publicity right is required. In legislation, legislative forms, subjects of rights, objects of protection, property rights, remedies for infringement should be considered.
Even though artificial intelligence has the ability to replace humans, under the circumstance of non-existence of law that can regulate the artificial intelligence and the determination of publicity right acknowledgement that is decided by the court, what should we do in case of publicity right infringement by the artificial intelligence? Filing of a suit and waiting for the court’s judgement is a best way for now. Infringement of publicity right by the artificial intelligence can occur now and is expected to occur more in the near future.
Therefore, legislation needs to reflect the current level of technology and the trend. As technology has developed, the new modern conveniences has emerged that we have never heard or seen before. Through the past, it is learned that new right for human beings has emerged by the change of the times. Now, law should learn from the past and make future-oriented legislation."
대학의 인공지능 도입과 인공지능교수에 대한 학습자 인식,"권선아,이재경,권숙진",교육종합연구원,2018,교육종합연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=accc60a3d08ad94cb7998d826d417196&keyword=인공지능,"본 연구는 현재 대학교육에 혁신을 가져올 새로운 기술로 논의되고 있는 인공지능에 대한 대학생들의 인식을 조사하였다. 구체적으로 대학생들의 1) 인공지능에 대한 전반적인 인식, 2) 대학의 인공지능 기술 도입에 대한 인식, 그리고 3) 인공지능교수에 대한 인식을 조사하였다. 이를 위하여 대학생을 대상으로 설문조사를 실시하였고, 모든 질문에 성실하게 응답한 337명의 응답결과를 분석하였다. 분석결과, 첫째, 인공지능에 대한 지식수준에 관계없이, 응답자의 대다수(89.6%)가 인공지능은 인간과 공존할 수 있는 편리한 기술이라고 응답하였다. 둘째, 대학의 인공지능기술 도입에 대해서는 응답자의 과반수(51.9%)가 긍정적으로 응답하였고, 활용분야로는 학사정보안내(50.1%), 학습상담(24.9%), 맞춤형학습지원(24%)의 순서로 응답하였다. 셋째, 인공지능교수가 인간교수를 대체할 수 있을 것인가에 대한 질문에 대해서는 전체 응답자의 과반수(63.2%)가 대체할 수 없다고 응답하였고, 인공지능교수의 이미지는 컴퓨터, 아바타, 휴머노이드로봇 등 어느 모습이든 상관없으며, 학습자의 분석학습(45.7%), 기억학습 (24.6%), 이해학습(17.2%)에 도움을 줄 수 있을 것이라고 응답하였다. 이와 같은 분석결과를 기반으로, 연구의 시사점 및 후속연구를 위한 제언이 논의되었다."
